names,state,party,district,cid
 John Rutherford,Florida,Republican, District 4,N00039777
 Tim Ryan,Ohio,Democrat, District 13,N00025280
 Michael San Nicolas,Guam,Democrat, At Large,N00042619
 Linda Sanchez,California,Democrat, District 38,N00024870
 Bernie Sanders,Vermont,Independent, Senate,N00000528
 John Sarbanes,Maryland,Democrat, District 3,N00027751
 Ben Sasse,Nebraska,Republican, Senate,N00035544
 Steve Scalise,Louisiana,Republican, District 1,N00009660
 Mary Gay Scanlon,Pennsylvania,Democrat, District 5,N00042706
 Jan Schakowsky,Illinois,Democrat, District 9,N00004724
 Brian Schatz,Hawaii,Democrat, Senate,N00028138
 Adam Schiff,California,Democrat, District 28,N00009585
 Brad Schneider,Illinois,Democrat, District 10,N00033101
 Kurt Schrader,Oregon,Democrat, District 5,N00030071
 Kim Schrier,Washington,Democrat, District 8,N00041606
 Debbie Wasserman Schultz,Florida,Democrat, District 23,N00026106
 Charles E Schumer,New York,Democrat, Senate,N00001093
 David Schweikert,Arizona,Republican, District 6,N00006460
 Austin Scott,Georgia,Republican, District 8,N00032457
 Bobby Scott,Virginia,Democrat, District 3,N00002147
 David Scott,Georgia,Democrat, District 13,N00024871
 Rick Scott,Florida,Republican, Senate,N00043290
 Tim Scott,South Carolina,Republican, Senate,N00031782
 Jim Sensenbrenner,Wisconsin,Republican, District 5,N00004291
 Jose E Serrano,New York,Democrat, District 15,N00001813
 Terri Sewell,Alabama,Democrat, District 7,N00030622
 Jeanne Shaheen,New Hampshire,Democrat, Senate,N00024790
 Donna Shalala,Florida,Democrat, District 27,N00042811
 Richard C Shelby,Alabama,Republican, Senate,N00009920
 Brad Sherman,California,Democrat, District 30,N00006897
 Mikie Sherrill,New Jersey,Democrat, District 11,N00041154
 John Shimkus,Illinois,Republican, District 15,N00004961
 Mike Simpson,Idaho,Republican, District 2,N00006263
 Kyrsten Sinema,Arizona,Democrat, Senate,N00033983
 Albio Sires,New Jersey,Democrat, District 8,N00027523
 Elissa Slotkin,Michigan,Democrat, District 8,N00041357
 Xochitl Torres Small,New Mexico,Democrat, District 2,N00042467
 Adam Smith,Washington,Democrat, District 9,N00007833
 Adrian Smith,Nebraska,Republican, District 3,N00027623
 Chris Smith,New Jersey,Republican, District 4,N00009816
 Jason Smith,Missouri,Republican, District 8,N00035282
 Tina Smith,Minnesota,Democrat, Senate,N00042353
 Lloyd Smucker,Pennsylvania,Republican, District 11,N00038781
 Darren Soto,Florida,Democrat, District 9,N00037422
 Abigail Spanberger,Virginia,Democrat, District 7,N00041418
 Ross Spano,Florida,Republican, District 15,N00043319
 Jackie Speier,California,Democrat, District 14,N00029649
 Debbie Stabenow,Michigan,Democrat, Senate,N00004118
 Greg Stanton,Arizona,Democrat, District 9,N00041750
 Pete Stauber,Minnesota,Republican, District 8,N00041511
 Elise Stefanik,New York,Republican, District 21,N00035523
 Bryan Steil,Wisconsin,Republican, District 1,N00043379
 Greg Steube,Florida,Republican, District 17,N00042808
